Слово,Частота,Частота (в %)
и,16,3.5555555555555554
классов,11,2.4444444444444446
в,9,2.0
Java,7,1.5555555555555556
Загрузчик,7,1.5555555555555556
типы,7,1.5555555555555556
JVM,6,1.3333333333333333
для,6,1.3333333333333333
класса,6,1.3333333333333333
с,6,1.3333333333333333
типа,5,1.1111111111111112
class,4,0.8888888888888888
загружает,4,0.8888888888888888
загрузчик,4,0.8888888888888888
или,4,0.8888888888888888
на,4,0.8888888888888888
является,4,0.8888888888888888
Bootstrap,3,0.6666666666666666
loader,3,0.6666666666666666
Типы,3,0.6666666666666666
выполнения,3,0.6666666666666666
выполняет,3,0.6666666666666666
значение,3,0.6666666666666666
значения,3,0.6666666666666666
значениями,3,0.6666666666666666
как,3,0.6666666666666666
код,3,0.6666666666666666
кода,3,0.6666666666666666
машина,3,0.6666666666666666
не,3,0.6666666666666666
по,3,0.6666666666666666
работает,3,0.6666666666666666
расширений,3,0.6666666666666666
только,3,0.6666666666666666
три,3,0.6666666666666666
HOME,2,0.4444444444444444
JAVA,2,0.4444444444444444
boolean,2,0.4444444444444444
byte,2,0.4444444444444444
char,2,0.4444444444444444
ext,2,0.4444444444444444
java,2,0.4444444444444444
jre,2,0.4444444444444444
lib,2,0.4444444444444444
types,2,0.4444444444444444
Виртуальная,2,0.4444444444444444
Загрузка,2,0.4444444444444444
ОС,2,0.4444444444444444
Системный,2,0.4444444444444444
байт,2,0.4444444444444444
благодаря,2,0.4444444444444444
динамически,2,0.4444444444444444
имеют,2,0.4444444444444444
исполнения,2,0.4444444444444444
их,2,0.4444444444444444
классы,2,0.4444444444444444
которые,2,0.4444444444444444
который,2,0.4444444444444444
любой,2,0.4444444444444444
памяти,2,0.4444444444444444
поскольку,2,0.4444444444444444
среды,2,0.4444444444444444
ссылки,2,0.4444444444444444
типов,2,0.4444444444444444
частью,2,0.4444444444444444
числами,2,0.4444444444444444
экземпляры,2,0.4444444444444444
это,2,0.4444444444444444
являются,2,0.4444444444444444
AppClassLoader,1,0.2222222222222222
CLASSPATH,1,0.2222222222222222
Classloader,1,0.2222222222222222
Extensions,1,0.2222222222222222
Garbage,1,0.2222222222222222
JRE,1,0.2222222222222222
Launcher,1,0.2222222222222222
Machine,1,0.2222222222222222
System,1,0.2222222222222222
Virtual,1,0.2222222222222222
collection,1,0.2222222222222222
dirs,1,0.2222222222222222
double,1,0.2222222222222222
false,1,0.2222222222222222
frame,1,0.2222222222222222
int,1,0.2222222222222222
local,1,0.2222222222222222
long,1,0.2222222222222222
misc,1,0.2222222222222222
path,1,0.2222222222222222
primitive,1,0.2222222222222222
reference,1,0.2222222222222222
s,1,0.2222222222222222
short,1,0.2222222222222222
sun,1,0.2222222222222222
true,1,0.2222222222222222
Делегирование,1,0.2222222222222222
Инициализация,1,0.2222222222222222
Их,1,0.2222222222222222
Класс,1,0.2222222222222222
Меньшие,1,0.2222222222222222
Обычно,1,0.2222222222222222
По,1,0.2222222222222222
Подготовка,1,0.2222222222222222
Предоставление,1,0.2222222222222222
При,1,0.2222222222222222
Примитивы,1,0.2222222222222222
Проверка,1,0.2222222222222222
Разрешение,1,0.2222222222222222
Связывание,1,0.2222222222222222
Система,1,0.2222222222222222
Существует,1,0.2222222222222222
Управление,1,0.2222222222222222
Эта,1,0.2222222222222222
Это,1,0.2222222222222222
Этот,1,0.2222222222222222
а,1,0.2222222222222222
без,1,0.2222222222222222
библиотек,1,0.2222222222222222
библиотеках,1,0.2222222222222222
библиотеки,1,0.2222222222222222
бита,1,0.2222222222222222
битная,1,0.2222222222222222
битное,1,0.2222222222222222
битными,1,0.2222222222222222
быть,1,0.2222222222222222
важной,1,0.2222222222222222
влияния,1,0.2222222222222222
возможен,1,0.2222222222222222
выделяет,1,0.2222222222222222
вызовет,1,0.2222222222222222
вызывает,1,0.2222222222222222
выполняемую,1,0.2222222222222222
выполняется,1,0.2222222222222222
где,1,0.2222222222222222
данные,1,0.2222222222222222
данным,1,0.2222222222222222
данных,1,0.2222222222222222
две,1,0.2222222222222222
двоичные,1,0.2222222222222222
действия,1,0.2222222222222222
до,1,0.2222222222222222
должна,1,0.2222222222222222
другой,1,0.2222222222222222
единица,1,0.2222222222222222
единицы,1,0.2222222222222222
её,1,0.2222222222222222
же,1,0.2222222222222222
за,1,0.2222222222222222
загружаются,1,0.2222222222222222
загружен,1,0.2222222222222222
загрузка,1,0.2222222222222222
загрузки,1,0.2222222222222222
загрузку,1,0.2222222222222222
загрузчика,1,0.2222222222222222
загрузчиком,1,0.2222222222222222
загрузчику,1,0.2222222222222222
занимают,1,0.2222222222222222
запросу,1,0.2222222222222222
запуск,1,0.2222222222222222
запуске,1,0.2222222222222222
знак,1,0.2222222222222222
знать,1,0.2222222222222222
из,1,0.2222222222222222
изначально,1,0.2222222222222222
именем,1,0.2222222222222222
импортируемого,1,0.2222222222222222
импортирует,1,0.2222222222222222
инициализация,1,0.2222222222222222
инициализирует,1,0.2222222222222222
инструкций,1,0.2222222222222222
интерфейсов,1,0.2222222222222222
интерфейсы,1,0.2222222222222222
исполнение,1,0.2222222222222222
используются,1,0.2222222222222222
к,1,0.2222222222222222
каждая,1,0.2222222222222222
каталог,1,0.2222222222222222
каталоги,1,0.2222222222222222
класс,1,0.2222222222222222
классом,1,0.2222222222222222
коде,1,0.2222222222222222
кодом,1,0.2222222222222222
концепцией,1,0.2222222222222222
которая,1,0.2222222222222222
которой,1,0.2222222222222222
которую,1,0.2222222222222222
кроме,1,0.2222222222222222
массивов,1,0.2222222222222222
массивы,1,0.2222222222222222
механизм,1,0.2222222222222222
может,1,0.2222222222222222
мусора,1,0.2222222222222222
мя,1,0.2222222222222222
найденный,1,0.2222222222222222
написан,1,0.2222222222222222
нативном,1,0.2222222222222222
находит,1,0.2222222222222222
начальными,1,0.2222222222222222
независимой,1,0.2222222222222222
необязательно,1,0.2222222222222222
несколько,1,0.2222222222222222
но,1,0.2222222222222222
нулевым,1,0.2222222222222222
о,1,0.2222222222222222
обеспечивает,1,0.2222222222222222
оболочкой,1,0.2222222222222222
обычно,1,0.2222222222222222
оглавлению,1,0.2222222222222222
один,1,0.2222222222222222
она,1,0.2222222222222222
операндов,1,0.2222222222222222
основные,1,0.2222222222222222
основных,1,0.2222222222222222
отвечает,1,0.2222222222222222
очисткой,1,0.2222222222222222
память,1,0.2222222222222222
памятью,1,0.2222222222222222
папке,1,0.2222222222222222
переменной,1,0.2222222222222222
переменные,1,0.2222222222222222
переменных,1,0.2222222222222222
плавающей,1,0.2222222222222222
подготовку,1,0.2222222222222222
поддерживаются,1,0.2222222222222222
поиск,1,0.2222222222222222
пока,1,0.2222222222222222
пор,1,0.2222222222222222
порядке,1,0.2222222222222222
правильность,1,0.2222222222222222
правильными,1,0.2222222222222222
предоставляющий,1,0.2222222222222222
представляет,1,0.2222222222222222
преобразования,1,0.2222222222222222
преобразует,1,0.2222222222222222
приложениями,1,0.2222222222222222
примитивные,1,0.2222222222222222
примитивными,1,0.2222222222222222
проверка,1,0.2222222222222222
проверку,1,0.2222222222222222
программа,1,0.2222222222222222
программу,1,0.2222222222222222
происходит,1,0.2222222222222222
прямые,1,0.2222222222222222
работают,1,0.2222222222222222
раз,1,0.2222222222222222
разрешение,1,0.2222222222222222
разрядные,1,0.2222222222222222
расположенные,1,0.2222222222222222
расширением,1,0.2222222222222222
расширенный,1,0.2222222222222222
реализуется,1,0.2222222222222222
реализуют,1,0.2222222222222222
свойством,1,0.2222222222222222
символические,1,0.2222222222222222
системах,1,0.2222222222222222
системным,1,0.2222222222222222
содержащихся,1,0.2222222222222222
содержимого,1,0.2222222222222222
создаваемые,1,0.2222222222222222
соответственно,1,0.2222222222222222
сопоставляется,1,0.2222222222222222
составляет,1,0.2222222222222222
специфических,1,0.2222222222222222
среду,1,0.2222222222222222
ссылками,1,0.2222222222222222
ссылок,1,0.2222222222222222
ссылочные,1,0.2222222222222222
ссылочных,1,0.2222222222222222
стеке,1,0.2222222222222222
строгом,1,0.2222222222222222
сути,1,0.2222222222222222
так,1,0.2222222222222222
тех,1,0.2222222222222222
типами,1,0.2222222222222222
точкой,1,0.2222222222222222
требованию,1,0.2222222222222222
указанный,1,0.2222222222222222
умолчанию,1,0.2222222222222222
управления,1,0.2222222222222222
файлах,1,0.2222222222222222
файловых,1,0.2222222222222222
хранения,1,0.2222222222222222
целые,1,0.2222222222222222
целыми,1,0.2222222222222222
числа,1,0.2222222222222222
чтение,1,0.2222222222222222
ядра,1,0.2222222222222222
Слово,Частота,Частота (в %)
и,16,3.5555555555555554
классов,11,2.4444444444444446
в,9,2.0
Java,7,1.5555555555555556
Загрузчик,7,1.5555555555555556
типы,7,1.5555555555555556
JVM,6,1.3333333333333333
для,6,1.3333333333333333
класса,6,1.3333333333333333
с,6,1.3333333333333333
типа,5,1.1111111111111112
class,4,0.8888888888888888
загружает,4,0.8888888888888888
загрузчик,4,0.8888888888888888
или,4,0.8888888888888888
на,4,0.8888888888888888
является,4,0.8888888888888888
Bootstrap,3,0.6666666666666666
loader,3,0.6666666666666666
Типы,3,0.6666666666666666
выполнения,3,0.6666666666666666
выполняет,3,0.6666666666666666
значение,3,0.6666666666666666
значения,3,0.6666666666666666
значениями,3,0.6666666666666666
как,3,0.6666666666666666
код,3,0.6666666666666666
кода,3,0.6666666666666666
машина,3,0.6666666666666666
не,3,0.6666666666666666
по,3,0.6666666666666666
работает,3,0.6666666666666666
расширений,3,0.6666666666666666
только,3,0.6666666666666666
три,3,0.6666666666666666
HOME,2,0.4444444444444444
JAVA,2,0.4444444444444444
boolean,2,0.4444444444444444
byte,2,0.4444444444444444
char,2,0.4444444444444444
ext,2,0.4444444444444444
java,2,0.4444444444444444
jre,2,0.4444444444444444
lib,2,0.4444444444444444
types,2,0.4444444444444444
Виртуальная,2,0.4444444444444444
Загрузка,2,0.4444444444444444
ОС,2,0.4444444444444444
Системный,2,0.4444444444444444
байт,2,0.4444444444444444
благодаря,2,0.4444444444444444
динамически,2,0.4444444444444444
имеют,2,0.4444444444444444
исполнения,2,0.4444444444444444
их,2,0.4444444444444444
классы,2,0.4444444444444444
которые,2,0.4444444444444444
который,2,0.4444444444444444
любой,2,0.4444444444444444
памяти,2,0.4444444444444444
поскольку,2,0.4444444444444444
среды,2,0.4444444444444444
ссылки,2,0.4444444444444444
типов,2,0.4444444444444444
частью,2,0.4444444444444444
числами,2,0.4444444444444444
экземпляры,2,0.4444444444444444
это,2,0.4444444444444444
являются,2,0.4444444444444444
AppClassLoader,1,0.2222222222222222
CLASSPATH,1,0.2222222222222222
Classloader,1,0.2222222222222222
Extensions,1,0.2222222222222222
Garbage,1,0.2222222222222222
JRE,1,0.2222222222222222
Launcher,1,0.2222222222222222
Machine,1,0.2222222222222222
System,1,0.2222222222222222
Virtual,1,0.2222222222222222
collection,1,0.2222222222222222
dirs,1,0.2222222222222222
double,1,0.2222222222222222
false,1,0.2222222222222222
frame,1,0.2222222222222222
int,1,0.2222222222222222
local,1,0.2222222222222222
long,1,0.2222222222222222
misc,1,0.2222222222222222
path,1,0.2222222222222222
primitive,1,0.2222222222222222
reference,1,0.2222222222222222
s,1,0.2222222222222222
short,1,0.2222222222222222
sun,1,0.2222222222222222
true,1,0.2222222222222222
Делегирование,1,0.2222222222222222
Инициализация,1,0.2222222222222222
Их,1,0.2222222222222222
Класс,1,0.2222222222222222
Меньшие,1,0.2222222222222222
Обычно,1,0.2222222222222222
По,1,0.2222222222222222
Подготовка,1,0.2222222222222222
Предоставление,1,0.2222222222222222
При,1,0.2222222222222222
Примитивы,1,0.2222222222222222
Проверка,1,0.2222222222222222
Разрешение,1,0.2222222222222222
Связывание,1,0.2222222222222222
Система,1,0.2222222222222222
Существует,1,0.2222222222222222
Управление,1,0.2222222222222222
Эта,1,0.2222222222222222
Это,1,0.2222222222222222
Этот,1,0.2222222222222222
а,1,0.2222222222222222
без,1,0.2222222222222222
библиотек,1,0.2222222222222222
библиотеках,1,0.2222222222222222
библиотеки,1,0.2222222222222222
бита,1,0.2222222222222222
битная,1,0.2222222222222222
битное,1,0.2222222222222222
битными,1,0.2222222222222222
быть,1,0.2222222222222222
важной,1,0.2222222222222222
влияния,1,0.2222222222222222
возможен,1,0.2222222222222222
выделяет,1,0.2222222222222222
вызовет,1,0.2222222222222222
вызывает,1,0.2222222222222222
выполняемую,1,0.2222222222222222
выполняется,1,0.2222222222222222
где,1,0.2222222222222222
данные,1,0.2222222222222222
данным,1,0.2222222222222222
данных,1,0.2222222222222222
две,1,0.2222222222222222
двоичные,1,0.2222222222222222
действия,1,0.2222222222222222
