Слово,Частота,Частота (в %)
vous,8,5.228758169934641
photo,6,3.9215686274509802
un,6,3.9215686274509802
votre,6,3.9215686274509802
album,5,3.2679738562091503
de,5,3.2679738562091503
qui,4,2.6143790849673203
l,3,1.9607843137254901
les,3,1.9607843137254901
pour,3,1.9607843137254901
pouvez,3,1.9607843137254901
que,3,1.9607843137254901
une,3,1.9607843137254901
à,3,1.9607843137254901
Vous,2,1.3071895424836601
cadeau,2,1.3071895424836601
est,2,1.3071895424836601
et,2,1.3071895424836601
même,2,1.3071895424836601
ou,2,1.3071895424836601
photos,2,1.3071895424836601
souvenirs,2,1.3071895424836601
vos,2,1.3071895424836601
Avec,1,0.6535947712418301
Créer,1,0.6535947712418301
Il,1,0.6535947712418301
Les,1,0.6535947712418301
Pour,1,0.6535947712418301
Suggestion,1,0.6535947712418301
Un,1,0.6535947712418301
a,1,0.6535947712418301
acheter,1,0.6535947712418301
adapté,1,0.6535947712418301
ajoutez,1,0.6535947712418301
ajoutées,1,0.6535947712418301
approprié,1,0.6535947712418301
aussi,1,0.6535947712418301
autrement,1,0.6535947712418301
aux,1,0.6535947712418301
avez,1,0.6535947712418301
carte,1,0.6535947712418301
chaque,1,0.6535947712418301
cherchez,1,0.6535947712418301
chère,1,0.6535947712418301
collection,1,0.6535947712418301
cœur,1,0.6535947712418301
dans,1,0.6535947712418301
depuis,1,0.6535947712418301
des,1,0.6535947712418301
designs,1,0.6535947712418301
différents,1,0.6535947712418301
disent,1,0.6535947712418301
déjà,1,0.6535947712418301
emploi,1,0.6535947712418301
en,1,0.6535947712418301
esprit,1,0.6535947712418301
facile,1,0.6535947712418301
fait,1,0.6535947712418301
goûts,1,0.6535947712418301
gratuite,1,0.6535947712418301
graver,1,0.6535947712418301
grâce,1,0.6535947712418301
jamais,1,0.6535947712418301
le,1,0.6535947712418301
meilleurs,1,0.6535947712418301
moments,1,0.6535947712418301
mots,1,0.6535947712418301
médias,1,0.6535947712418301
n,1,0.6535947712418301
ordinateur,1,0.6535947712418301
parfois,1,0.6535947712418301
perdus,1,0.6535947712418301
personnalisé,1,0.6535947712418301
personne,1,0.6535947712418301
plus,1,0.6535947712418301
prêt,1,0.6535947712418301
quelqu,1,0.6535947712418301
revivre,1,0.6535947712418301
réchauffe,1,0.6535947712418301
seraient,1,0.6535947712418301
sociaux,1,0.6535947712418301
soit,1,0.6535947712418301
sorte,1,0.6535947712418301
suffit,1,0.6535947712418301
suivre,1,0.6535947712418301
texte,1,0.6535947712418301
totalement,1,0.6535947712418301
touche,1,0.6535947712418301
télécharger,1,0.6535947712418301
téléphone,1,0.6535947712418301
vie,1,0.6535947712418301
vraiment,1,0.6535947712418301
vécus,1,0.6535947712418301
vœux,1,0.6535947712418301
écrire,1,0.6535947712418301
été,1,0.6535947712418301
évolution,1,0.6535947712418301
